Headliner,Show,Opener,Type,Date,Time,Venue,City,RoadTrip,SeatType,Section,Row,Seats,TicketHolder,People,Notes
Troye Sivan,Suburbia Tour,Dua Lipa,Headliner,2016-11-17,7:00 PM,Eagle Bank Arena,"Fairfax, VA",,seats,129,J,4-8,Me,"Zoe, Emma, Ava, & Katie",omg hes a real person moment 
Halsey,Hopeless Fountain Kingdom Tour: Installment I,PartyNextDoor | Charli XCX,Headliner,2017-10-09,8:00 PM,Capital One Arena,"Washington, DC",,seats,4,G,10-11,Zoe,Zoe,Birthday present from Zoe
Dua Lipa,The Self-Titled Tour,Marteen,Headliner,2017-11-28,7:30 PM,The Fillmore Silver Spring,"Silver Spring, MD",,GA,,,,Zoe,Zoe & Emma,became a fan at the troye concert
Khalid,Roxy Tour,Prettymuch,Headliner,2018-06-04,7:30 PM,Pier Six Pavilion,"Baltamore, MD",,seats,104,D,4-6,Emma,Emma,VIP tickets
Harry Styles: Live on Tour,,Kasey Musgraves,Show,2018-06-24,8:00 PM,Capital One Arena,"Washington, DC",,seats,121,M,15-16,Emma,Emma,Fabulous
Halsey,Hopeless Fountain Kingdom Tour: The Final Installment,Jessie Reyez,Headliner,2018-07-15,8:00 PM,Wolf Trap,"Vienna, VA",,GA Lawn,,,,Me,Zoe,Birthday present to Zoe
Panic! at the Disco,Pray for the Wicked Tour,Hayley Kiyoko | ARIZONA,Headliner,2018-07-18,7:30 PM,PPG Paints Arena,"Pittsburgh, PA",x,seats,218,J,9-10,Me,Emma,How did he sing for two hours straight??
Niall Horan,Flicker World Tour,Maren Morris,Headliner,2018-08-31,7:30 PM,Jiffy Lube Live,"Bristow, VA",,GA Lawn,,,,Me,Emma & Kelsey,Classic Summer Concert 
Picture This,MDRN LV Tour,Future Feats,Headliner,2019-04-27,8:00 PM,Rock N Roll Hotel,"Washington, DC",,GA,,,,Me,Zoe & Emma,Got to meet them!!
LANY,Malibu Nights World Tour,Fletcher,Headliner,2019-05-16,7:30 PM,9:30 Club,"Washington, DC",,GA,,,,Zoe,Zoe & Emma,"Went for vibes, came back a fan"
Thomas Rhett,Very Hot Summer Tour,Dustin Lynch | Russell Dickerson,Headliner,2019-06-15,8:00 PM,Jiffy Lube Live,"Bristow, VA",,GA Lawn,,,,Me,Kelsey,Convinced Kelsey to go! 
The Driver Era ,The Girlfriend Tour,Moon Tower | The Wrecks,Headliner,2021-11-28,7:00 PM,The NorVa,"Norfolk, VA",,GA,,,,Me,Grace & Javier ,first concert post covid
Dua Lipa,Future Nostalgia Tour,,Headliner,2022-06-28,8:00 PM,Gröna Lund,Stockholm,,GA,,,,Me,McKenna & DIS People,just happened to be in sweeden
5 Seconds of Summer,Take My Hand World Tour,Pale Waves,Headliner,2022-07-05,7:00 PM,The Anthem,"Washington, DC",,GA,,,,Me,Grace & Javier ,jet lagged and loud! made me get earplugs but also v fun
Lauv,All 4 Nothing Tour,Hayley Kiyoko,Headliner,2022-08-25,7:30 PM,The Anthem,"Washington, DC",,GA,,,,Me,Grace,Ended up in a random tiktok
Coin,Uncanny Valley Tour,Miloe ,Headliner,2022-09-27,8:00 PM,The NorVa,"Norfolk, VA",,GA,,,,Grace,Grace,"""he's eating blueberries"" - Megan"
All Things Go Music Festival,,Lorde | Maude Latour | Hippo Campus | Mitski | Bleachers,Festival,2022-10-01,12:00 PM,Merriweather Post Pavilion,"Columbia, MD",,GA,,,,Me,Grace,cold and rainy
Bad Suns,Apocalypse Whenever Tour,Quarters of Change | Last Dinosaurs ,Headliner,2022-10-25,8:00 PM,The National,"Richmond, VA",,GA,,,,Grace,Grace,"""okay so i thought this was bad suns but megan has informed me that it is not bad suns"" - Grace"
The Wrecks,Back & Better Than Ever Tour,Arlie,Headliner,2022-10-30,8:00 PM,Elevation 27,"Virginia Beach, VA ",,GA,,,,Me,Grace,Halloween!
TOMORROW X TOGETHER,Act: Sweet Mirage World Tour,,Headliner,2023-05-16,7:00 PM,Capital One Arena ,"Washington, DC",x,seats,401,K,6-7,Me,Grace,submitted last college final and drove up 
Taylor Swift,The Eras Tour,Gracie Abrams | Girl in Red ,Headliner,2023-06-16,8:00 PM,Acrisure Stadium ,"Pittsburgh, PA",x,seats,526,S,3-5,Me,Grace & Patrick,Patrick's first concert 
BLACKPINK,Born Pink World Tour Encore,,Headliner,2023-08-12,8:30 PM,MetLife Stadium,"East Rutherford, NJ",x,seats,323,21,6-7,Me,Grace,rain show! 
The 5 Seconds of Summer Show,,Meet Me @ the Altar,Show,2023-08-18,8:00 PM,Jiffy Lube Live,"Bristow, VA",,seats,304,M,13-14,Me,Grace,Dice Song: If You Don't Know
Maude Latour ,Twin Flame Tour ,Devon Again,Headliner,2023-10-15,8:00 PM,9:30 Club,"Washington, DC",,GA,,,,Grace,Grace,drove back from West Virginia that morning 
BETWEEN FRIENDS,I Love My Girl She's My Boy Tour,Blaketheman1000,Headliner,2023-10-16,8:00 PM,Union Stage,"Washington, DC",,GA,,,,Grace,Grace,second concert in a row
The Rose ,Dawn To Dusk Tour,,Headliner,2023-10-24,8:00 PM,Eagle Bank Arena,"Fairfax, VA",,seats,109,U,5-6,Me,Grace,"walked into the venue as the lights went down, got to our seats right before the band came out"
